학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,대학
KMP1012-02,한의학원론2,1,60,"김우진,이현일",2.0,"화 09:00-10:50 (스265),금 09:00-10:50 (스265)",04,,,서울
KMP2014-01,발생학2,2,120,손영주,1.0,수 14:00-15:50 (스262),04,,,서울
KMP2016-01,본초학총론2,2,60,"최호영,김호철,부영민,이경진",1.0,목 09:00-10:50 (스258),04,,,서울
KMP2016-02,본초학총론2,2,60,"최호영,김호철,부영민,이경진",1.0,목 11:00-12:50 (스259),04,,,서울
KMP2018-01,생리학2,2,60,"금동준,김한겸",4.0,"화 11:00-12:50 (스258),금 11:00-12:50 (스258)",04,,,서울
KMP2018-02,생리학2,2,60,"금동준,김한겸",4.0,"화 09:00-10:50 (스259),금 09:00-10:50 (스259)",04,,,서울
KMP2020-01,생리학실습2,2,120,"김양석,김우진",.5,수 16:00-17:50 (스355),04,영어,,서울
KMP2022-01,생화학및실습2,2,60,"장문석,장형진",3.5,"화 14:00-16:45 (스262)금 15:00-16:50 (스260),금 15:00-16:50 (스260)화 14:00-16:45 (스262)",04,영어,,서울
KMP2022-02,생화학및실습2,2,60,"장문석,장형진",3.5,화 14:00-15:50 (스260)금 15:00-17:45 (스263),04,영어,,서울
KMP2024-01,의사학2,2,60,"김남일,차웅석,김태우",1.5,"목 11:00-11:50 (스258)월 09:00-10:50 (스258),월 09:00-10:50 (스258)목 11:00-11:50 (스258),목 11:00-11:50 (스258)월 09:00-10:50 (스258)",04,,,서울
KMP2024-02,의사학2,2,60,"김남일,차웅석,김태우",1.5,월 11:00-12:50 (스259)목 10:00-10:50 (스259),04,,,서울
KMP2026-01,의학기공학2,2,60,"신용철,이화진",1.0,목 14:00-15:50 (스258),04,,,서울
KMP2026-02,의학기공학2,2,60,"신용철,이화진",1.0,목 16:00-17:50 (스259),04,,,서울
KMP2027-01,의학통계학,2,60,장보형,1.0,화 09:00-10:50 (스258),04,,,서울
KMP2027-02,의학통계학,2,60,장보형,1.0,화 11:00-12:50 (스259),04,,,서울
KMP2029-01,의학한문2,2,60,"장우창,안진희,신상원",1.5,월 14:00-15:15 (스258)목 16:00-17:15 (스258),04,,,서울
KMP2029-02,의학한문2,2,60,"장우창,안진희,신상원",1.5,월 15:30-16:45 (스259)목 14:00-15:15 (스259),04,,,서울
KMS0149-01,공간척추교정학2,,100,"정원석,남동우,김중배",1.0,목 18:00-19:50 (스561),05,,,서울
KMS0158-01,명상과실습,,100,김종우,1.0,목 18:00-19:50 (스356),05,,,서울
KMS0162-01,사암침법,,100,최준배,1.0,금 18:50-20:40 (스356),05,,,서울
KMS0170-01,의학입문,,100,차웅석,1.0,월 18:00-19:50 (스356),05,,,서울
KMS1032-01,병리학2,1,60,"심범상,김성훈,김봉이",4.0,"월 09:00-10:50 (스356),월 09:00-10:50 (스356),화 09:00-10:50 (스356)",04,,,서울
KMS1032-02,병리학2,1,58,"심범상,김성훈,김봉이",4.0,"월 11:00-12:50 (스357),월 11:00-12:50 (스357),화 11:00-12:50 (스357)",04,,,서울
KMS1034-01,병리학실습2,1,59,심범상,.5,금 11:00-12:50 (스356),04,,,서울
KMS1034-02,병리학실습2,1,58,심범상,.5,금 14:00-15:50 (스357),04,,,서울
KMS1036-01,본초학2,1,58,"최호영,김호철,부영민,이경진",4.0,"월 14:00-15:50 (스356)월 16:00-17:50 (스356),월 16:00-17:50 (스356)월 14:00-15:50 (스356),월 14:00-15:50 (스356)월 16:00-17:50 (스356),월 14:00-15:50 (스356)월 16:00-17:50 (스356)",04,,,서울
KMS1036-02,본초학2,1,58,"최호영,김호철,부영민,이경진",4.0,월 14:00-15:50 (스357)월 16:00-17:50 (스357),04,,,서울
KMS1038-01,본초학실습2,1,58,"최호영,김호철,부영민,이경진",.5,목 16:00-17:50 (스361),04,영어(부분),,서울
KMS1038-02,본초학실습2,1,61,"최호영,김호철,부영민,이경진",.5,목 14:00-15:50 (스361),04,영어(부분),,서울
KMS1040-01,양방생리학2,1,120,김우진,2.0,금 09:00-10:50 (스263),04,,,서울
KMS1046-01,원전2,1,61,"정창현,백유상",3.0,"화 11:00-12:50 (스356)월 11:00-12:50 (스356)금 14:00-15:50 (스356),월 11:00-12:50 (스356)화 11:00-12:50 (스356)금 14:00-15:50 (스356)",04,,,서울
KMS1046-02,원전2,1,58,"정창현,백유상",3.0,월 09:00-10:50 (스357)화 09:00-10:50 (스357)금 11:00-12:50 (스357),04,,,서울
KMS1047-01,조직학(1-2),1,120,"정혁상,이현삼,손영주",2.0,수 11:00-12:50 (스263),04,,,서울
KMS1049-01,해부학2,1,120,전재윤,4.0,목 09:00-10:50 (한109)목 11:00-12:50 (한109),04,,,서울
KMS1051-01,해부학실습2,1,120,정혁상,.5,화 14:00-19:50 (스B158),04,,,서울
KMS1202-01,양생학2,1,120,신용철,2.0,수 14:00-15:50 (스263),04,,,서울
KMS1203-01,양생학실습2,1,120,신용철,.5,수 16:00-17:50 (스557),04,,,서울
KMS2053-01,각가학설2,2,55,"김남일,차웅석,김태우",1.0,금 09:00-10:50 (스359),04,,,서울
KMS2053-02,각가학설2,2,55,"김남일,차웅석,김태우",1.0,금 11:00-12:50 (스360),04,,,서울
KMS2055-01,경혈학2,2,52,박히준,2.0,월 14:00-15:50 (스359),04,,,서울
KMS2055-02,경혈학2,2,52,"이혜정,채윤병",2.0,월 14:00-15:50 (스360),04,,,서울
KMS2057-01,경혈학실습2,2,55,박히준,1.0,화 09:00-12:50 (스557),04,,,서울
KMS2057-02,경혈학실습2,2,55,"이혜정,채윤병",1.0,화 14:00-17:50 (스557),04,,,서울
